ME_POz-Fz,MD_POz-Fz,ME_POz-Cz,MD_POz-Cz,ME_POz-C3,MD_POz-C3,ME_POz-C4,MD_POz-C4,ME_POz-F3,MD_POz-F3,ME_POz-F4,MD_POz-F4,ME_POz-P3,MD_POz-P3,ME_POz-P4,MD_POz-P4,ME_Fz-Cz,MD_Fz-Cz,ME_Fz-C3,MD_Fz-C3,ME_Fz-C4,MD_Fz-C4,ME_Fz-F3,MD_Fz-F3,ME_Fz-F4,MD_Fz-F4,ME_Fz-P3,MD_Fz-P3,ME_Fz-P4,MD_Fz-P4,ME_Cz-C3,MD_Cz-C3,ME_Cz-C4,MD_Cz-C4,ME_Cz-F3,MD_Cz-F3,ME_Cz-F4,MD_Cz-F4,ME_Cz-P3,MD_Cz-P3,ME_Cz-P4,MD_Cz-P4,ME_C3-C4,MD_C3-C4,ME_C3-F3,MD_C3-F3,ME_C3-F4,MD_C3-F4,ME_C3-P3,MD_C3-P3,ME_C3-P4,MD_C3-P4,ME_C4-F3,MD_C4-F3,ME_C4-F4,MD_C4-F4,ME_C4-P3,MD_C4-P3,ME_C4-P4,MD_C4-P4,ME_F3-F4,MD_F3-F4,ME_F3-P3,MD_F3-P3,ME_F3-P4,MD_F3-P4,ME_F4-P3,MD_F4-P3,ME_F4-P4,MD_F4-P4,ME_P3-P4,MD_P3-P4
['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],,['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],,['Negativo'],['Positivo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],,['Negativo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo']
['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],,['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],,['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],,,['Negativo'],,['Negativo'],,,['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],,['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],,['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Positivo']
['Positivo'],['Positivo'],['Negativo'],,['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],,['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],,['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],,['Positivo'],,['Negativo'],['Positivo'],['Positivo'],,['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo']
['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],,['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],,['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],,['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],,['Negativo'],['Negativo'],,['Positivo'],['Negativo'],['Negativo'],['Positivo'],,['Positivo'],['Negativo'],['Negativo'],['Negativo'],,['Negativo'],['Positivo'],,['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Negativo']
['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],,['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],,['Negativo'],['Positivo'],,,['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],,['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo']
['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo']
['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],,['Negativo'],['Negativo'],,['Positivo'],['Positivo'],['Negativo'],,['Negativo'],['Positivo'],,,['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],,,,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],,['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo']
,['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],,['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],,['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo']
['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],,['Negativo'],['Negativo'],['Positivo'],['Negativo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],,['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],,['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],,,['Negativo'],['Positivo'],,,['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],,['Positivo']
['Negativo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],['Positivo'],,,['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Negativo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Positivo'],['Negativo'],,,,['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],['Negativo'],,['Positivo'],['Positivo'],['Positivo'],['Positivo'],['Negativo'],,['Negativo'],['Negativo'],['Positivo'],['Positivo'],['Positivo']
