ME_POz-Fz,MD_POz-Fz,ME_POz-Cz,MD_POz-Cz,ME_POz-C3,MD_POz-C3,ME_POz-C4,MD_POz-C4,ME_POz-F3,MD_POz-F3,ME_POz-F4,MD_POz-F4,ME_POz-P3,MD_POz-P3,ME_POz-P4,MD_POz-P4,ME_Fz-Cz,MD_Fz-Cz,ME_Fz-C3,MD_Fz-C3,ME_Fz-C4,MD_Fz-C4,ME_Fz-F3,MD_Fz-F3,ME_Fz-F4,MD_Fz-F4,ME_Fz-P3,MD_Fz-P3,ME_Fz-P4,MD_Fz-P4,ME_Cz-C3,MD_Cz-C3,ME_Cz-C4,MD_Cz-C4,ME_Cz-F3,MD_Cz-F3,ME_Cz-F4,MD_Cz-F4,ME_Cz-P3,MD_Cz-P3,ME_Cz-P4,MD_Cz-P4,ME_C3-C4,MD_C3-C4,ME_C3-F3,MD_C3-F3,ME_C3-F4,MD_C3-F4,ME_C3-P3,MD_C3-P3,ME_C3-P4,MD_C3-P4,ME_C4-F3,MD_C4-F3,ME_C4-F4,MD_C4-F4,ME_C4-P3,MD_C4-P3,ME_C4-P4,MD_C4-P4,ME_F3-F4,MD_F3-F4,ME_F3-P3,MD_F3-P3,ME_F3-P4,MD_F3-P4,ME_F4-P3,MD_F4-P3,ME_F4-P4,MD_F4-P4,ME_P3-P4,MD_P3-P4
6.85,6.3,9.15,10.0,9.55,9.15,9.55,10.0,8.5,9.85,9.55,9.4,6.55,6.8,7.0,7.3,8.9,9.55,9.55,10.0,9.4,4.65,8.95,10.0,9.3,2.9,9.45,10.0,2.5,1.95,8.45,7.1,5.05,5.85,9.55,10.0,8.0,9.2,9.0,9.45,9.5,9.55,9.55,9.4,6.1,6.4,9.55,10.0,4.0,1.85,9.55,10.0,9.55,9.85,3.75,3.45,9.55,10.0,6.55,9.65,9.55,10.0,8.55,8.0,9.55,9.1,9.55,10.0,2.6,6.05,9.55,10.0
3.6,2.45,10.0,10.0,10.0,10.0,10.0,10.0,7.45,10.0,9.05,9.6,3.95,6.9,8.2,7.6,6.55,3.0,10.0,10.0,10.0,10.0,4.9,9.9,7.8,8.5,10.0,9.45,10.0,10.0,6.9,7.0,7.5,6.7,9.5,9.75,8.65,9.0,10.0,10.0,10.0,10.0,10.0,10.0,4.45,2.3,10.0,10.0,3.95,3.4,9.95,10.0,10.0,10.0,4.5,3.2,10.0,10.0,4.6,3.9,10.0,10.0,10.0,6.3,9.65,10.0,10.0,10.0,8.75,8.8,7.05,10.0
9.1,9.55,9.1,9.35,9.1,9.1,3.35,8.4,9.1,8.35,9.05,9.5,8.6,9.45,3.3,3.45,8.7,3.65,1.45,9.5,9.1,9.55,2.5,8.05,9.1,2.6,4.5,5.15,9.1,9.1,6.2,9.2,4.15,5.15,9.1,9.55,1.15,1.1,9.1,9.25,8.0,9.1,9.1,9.15,1.65,2.05,8.7,9.55,6.9,2.15,9.1,9.5,9.1,9.55,3.35,5.45,9.1,9.5,1.25,3.3,9.1,9.55,4.95,1.4,9.1,9.35,9.1,9.1,7.6,9.1,9.1,9.2
2.85,3.6,8.95,9.146875000000001,6.35,8.43611111111111,9.1,8.95,7.85,10.0,8.45,9.6,2.3,2.75,8.75,4.6,8.95,7.7,4.85,1.5,8.6,9.9,8.3,9.4,5.35,10.0,7.25,9.1,4.35,5.4,7.680555555555557,1.7,6.75,3.9,8.7,10.0,8.35,9.65,5.95,3.0,8.75,1.9,8.0,9.6,3.073684210526315,10.0,8.65,10.0,2.8,1.85,8.45,5.75,8.95,9.75,2.355882352941176,7.7,8.75,9.3,2.65,4.5,1.3,2.7,8.9,9.95,8.95,9.7,9.0,9.55,8.35,9.65,8.7,8.1
9.3,6.9,6.1,9.2,10.0,9.35,6.65,9.55,10.0,7.4,7.6,9.5,10.0,4.55,5.35,8.95,7.45,5.15,6.5,9.55,10.0,6.5,5.35,9.55,10.0,7.65,5.25,9.55,10.0,4.35,9.75,7.55,9.45,6.4,9.95,9.55,9.5,9.1,7.25,9.5,10.0,9.55,10.0,9.55,3.85,2.8,10.0,9.55,1.3,3.25,10.0,9.55,10.0,9.55,2.7,8.25,10.0,9.55,1.8,3.6,10.0,9.55,8.25,4.75,10.0,9.3,10.0,9.55,2.4,5.8,10.0,9.55
1.0,7.9105263157894745,1.0,9.146875000000001,9.108333333333333,8.43611111111111,1.0,1.0,8.583333333333332,8.913157894736841,1.0,9.600000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.005263157894738,1.0,1.0,1.0,8.941666666666668,1.0,1.0,7.680555555555557,1.0,1.0,6.734210526315789,1.0,9.14722222222222,1.0,1.0,1.0,1.0,1.0,1.0,9.283333333333335,9.538888888888888,1.0,1.0,9.333333333333334,9.741666666666667,1.0,1.0,9.358333333333333,9.01842105263158,9.322222222222221,9.693750000000001,1.0,1.0,9.355555555555556,9.549999999999999,1.0,1.0,1.0,1.0,1.0,1.0,9.18888888888889,8.858333333333333,9.397222222222222,9.538888888888888,1.0,1.0,1.0,9.179411764705883
4.55,9.65,9.75,9.55,9.85,5.45,10.0,9.55,7.35,8.75,8.9,9.75,2.1,3.6,8.55,4.9,9.0,6.4,4.85,9.9,9.55,2.8,2.8,7.15,9.15,1.6,9.65,10.0,9.95,8.3,9.25,5.05,5.5,7.3,9.55,9.55,5.65,4.5,9.9,9.5,7.15,9.55,9.65,9.9,3.8,9.9,9.45,9.75,9.55,1.8,10.0,9.9,9.6,9.693750000000001,2.355882352941176,4.8,10.0,9.9,3.45,8.9,9.85,9.25,7.9,9.95,9.9,8.858333333333333,9.55,9.7,9.4,9.65,3.45,9.1
10.0,5.85,1.35,9.146875000000001,10.0,3.35,5.1,5.85,10.0,5.6,4.4,9.600000000000001,9.65,1.75,2.05,5.9,10.0,3.75,7.75,5.95,9.4,2.15,7.7,5.95,7.3,1.45,6.15,5.9,9.25,1.75,9.9,5.95,6.2,5.45,10.0,5.95,3.65,5.8,9.35,5.15,6.5,5.8,10.0,9.538888888888888,5.35,1.85,10.0,9.741666666666667,3.95,1.3,10.0,5.95,10.0,9.693750000000001,2.6,1.75,10.0,9.549999999999999,3.3,1.65,10.0,5.95,4.5,3.8,9.95,5.95,10.0,9.538888888888888,4.75,1.1,10.0,9.179411764705883
10.0,10.0,10.0,10.0,10.0,7.05,10.0,10.0,10.0,8.15,10.0,10.0,1.05,2.5,1.7,6.75,8.1,1.55,6.1,10.0,5.4,1.7,4.55,8.8,10.0,5.45,10.0,10.0,10.0,7.2,9.65,10.0,2.75,1.75,2.3,10.0,9.95,3.4,10.0,10.0,5.65,8.4,9.95,10.0,3.65,8.35,9.4,10.0,9.95,2.0,10.0,8.15,8.9,10.0,2.45,4.6,10.0,10.0,2.863157894736842,10.0,10.0,10.0,10.0,9.95,9.95,7.85,10.0,10.0,10.0,10.0,2.8,9.15
9.2,9.85,9.55,9.6,9.55,9.75,9.55,8.5,9.25,9.75,9.55,9.600000000000001,5.8,9.6,5.4,1.2,1.25,1.4,6.75,4.4,6.3,5.15,9.55,9.05,9.45,9.75,9.55,10.0,9.55,9.75,7.6,6.75,7.65,7.0,7.5,8.75,7.65,9.35,9.55,10.0,9.55,9.75,9.55,9.85,1.9,1.8,9.55,10.0,2.4,2.9,9.55,9.85,9.55,9.8,1.75,4.1,9.55,9.95,3.9,5.5,9.55,10.0,3.05,3.2,9.55,9.85,9.55,8.85,7.0,7.0,9.55,9.7
