ME_POz-Fz,MD_POz-Fz,ME_POz-Cz,MD_POz-Cz,ME_POz-C3,MD_POz-C3,ME_POz-C4,MD_POz-C4,ME_POz-F3,MD_POz-F3,ME_POz-F4,MD_POz-F4,ME_POz-P3,MD_POz-P3,ME_POz-P4,MD_POz-P4,ME_Fz-Cz,MD_Fz-Cz,ME_Fz-C3,MD_Fz-C3,ME_Fz-C4,MD_Fz-C4,ME_Fz-F3,MD_Fz-F3,ME_Fz-F4,MD_Fz-F4,ME_Fz-P3,MD_Fz-P3,ME_Fz-P4,MD_Fz-P4,ME_Cz-C3,MD_Cz-C3,ME_Cz-C4,MD_Cz-C4,ME_Cz-F3,MD_Cz-F3,ME_Cz-F4,MD_Cz-F4,ME_Cz-P3,MD_Cz-P3,ME_Cz-P4,MD_Cz-P4,ME_C3-C4,MD_C3-C4,ME_C3-F3,MD_C3-F3,ME_C3-F4,MD_C3-F4,ME_C3-P3,MD_C3-P3,ME_C3-P4,MD_C3-P4,ME_C4-F3,MD_C4-F3,ME_C4-F4,MD_C4-F4,ME_C4-P3,MD_C4-P3,ME_C4-P4,MD_C4-P4,ME_F3-F4,MD_F3-F4,ME_F3-P3,MD_F3-P3,ME_F3-P4,MD_F3-P4,ME_F4-P3,MD_F4-P3,ME_F4-P4,MD_F4-P4,ME_P3-P4,MD_P3-P4
1.75,4.2,7.05,6.35,9.55,4.3,7.9,10.0,9.55,9.3,2.85,8.0,2.35,1.2,2.6,1.4324999999999997,1.75,1.2,7.65,8.3,7.45,1.9,9.55,10.0,2.45,1.15,9.05,9.95,1.05,1.05,7.15,1.5,1.7,2.25,9.55,10.0,2.15,3.8,9.5,8.25,8.45,7.65,9.55,7.5,9.55,10.0,8.8,8.85,9.55,1.65,9.55,9.75,9.55,9.15,3.75,9.1,9.55,10.0,2.3,9.7,9.55,10.0,9.55,8.6,9.55,7.0,9.0,9.2,1.45,2.25,9.55,10.0
1.3,1.1,10.0,7.75,9.95,9.3,10.0,9.45,10.0,9.85,10.0,9.45,1.5,2.4,4.5,1.9,1.5,1.0,10.0,10.0,10.0,10.0,4.35,9.7,9.35,8.25,10.0,2.5,9.55,6.3,7.0,5.75,6.05,4.35,9.65,9.95,9.7,9.5,10.0,8.5,9.7,9.15,10.0,9.95,4.5,3.05,10.0,9.9,1.9,1.3,10.0,10.0,10.0,9.95,4.1,4.1,10.0,10.0,1.5,2.25,8.5,8.9,9.9,7.45,10.0,10.0,10.0,10.0,7.7,7.9,9.4,10.0
9.1,9.35,9.1,8.9,9.1,8.7,1.5,3.25,9.1,9.05,9.1,9.5,1.6611111111111112,1.336842105263158,1.15,1.05,6.3,1.1,1.1,9.25,9.1,9.55,7.0,9.45,8.2,1.1,6.4,2.45,9.1,9.45,5.95,9.25,1.45,7.55,9.1,9.55,1.0,1.0,9.1,9.5,8.4,9.05,9.1,9.35,1.1,4.3,4.75,9.3,9.1,1.75,9.1,9.3,9.1,9.55,1.4,9.1,9.1,9.55,1.0,1.1,9.1,9.3,5.75,1.0,9.1,9.55,9.1,9.55,7.85,9.2,9.1,9.55
3.55,1.1,8.75,1.0,9.262500000000001,1.0,9.1,5.65,8.85,10.0,8.9,10.0,1.0,1.0,1.6450000000000002,1.5,6.0,1.15,1.8,1.0,8.75,3.2,9.1,10.0,1.95,10.0,8.45,3.95,2.1,1.05,1.0,1.0,7.6,2.7,8.65,10.0,6.8,10.0,3.6,1.25,8.65,1.05,8.4,3.6,8.75,10.0,7.35,10.0,3.75,1.05,7.7,1.35,8.9,9.7,8.75,9.65,8.9,8.7,1.7,4.25,1.15,1.0,8.9,10.0,8.55,10.0,9.05,9.95,7.05,10.0,8.65,4.8
6.85,5.65,2.4,2.35,7.25,6.6,1.7,5.5,10.0,1.35,3.15,9.55,4.65,1.1,1.15,2.5,8.25,1.15,8.85,4.3,8.95,1.8,5.35,9.55,10.0,3.2,3.2,7.5,8.9,2.65,6.55,2.6,7.8,1.9,10.0,8.75,3.65,9.45,1.75,4.35,7.55,4.75,10.0,7.2,9.75,4.45,3.75,9.55,1.0,1.25,10.0,9.55,10.0,9.45,2.95,8.6,7.4,8.45,1.25,1.1,10.0,9.55,10.0,2.75,10.0,2.55,9.152941176470588,9.55,1.4,9.25,8.75,6.15
1.0,1.0,1.0,1.0,9.262500000000001,1.0,1.0,1.0,1.0,1.0,1.0,9.211111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.149999999999999,1.0,1.0,1.0,1.0,9.641176470588235,1.0,1.0,9.33529411764706,1.0,9.350000000000001,1.0,1.0,1.0,9.238235294117647,9.097222222222223,1.0,1.0,1.0,1.0,1.0,1.0,9.232352941176472,1.0,9.152941176470588,9.668750000000001,1.0,1.0,1.0,1.0
5.3,9.6,8.7,7.75,10.0,1.55,10.0,9.55,8.8,9.05,5.4,10.0,1.35,1.45,3.15,1.75,6.7,1.95,1.25,10.0,10.0,2.6,1.35,8.85,6.2,1.15,9.6,10.0,10.0,7.0,9.45,2.15,5.55,9.5,10.0,9.55,2.05,2.4,9.95,9.15,5.25,9.4,10.0,9.95,1.6,9.95,8.2,9.641176470588235,10.0,1.0,10.0,9.95,9.6,1.1,8.25,8.25,10.0,9.95,2.5,8.15,9.9,9.6,9.05,9.95,9.9,1.0,9.55,10.0,9.45,8.95,1.1,9.8
10.0,2.2,2.25,1.25,10.0,2.15,2.9,5.5,8.95,5.85,5.75,9.211111111111112,1.6611111111111112,1.25,1.0,2.75,1.2,1.0,1.8,2.35,8.5,1.5,10.0,5.95,1.1,1.0,8.4,2.95,9.95,1.0,1.95,3.2,4.3,1.85,10.0,5.95,1.0,1.05,8.7,4.8,9.95,1.35,10.0,5.8,10.0,5.45,1.8,9.641176470588235,7.0,1.2,10.0,4.4,9.3,5.85,3.6,1.1,10.0,5.95,1.7,1.15,10.0,5.95,2.25,5.25,9.232352941176472,5.95,9.1,9.668750000000001,9.55,1.05,10.0,5.95
10.0,9.4,7.7,9.3,10.0,2.65,10.0,10.0,10.0,10.0,8.25,9.3,1.0,1.05,1.0,1.15,9.6,1.0,5.35,10.0,3.2,1.0,2.3,2.75,10.0,8.6,10.0,10.0,10.0,5.75,10.0,9.55,1.35,1.0,1.1,9.65,10.0,5.85,10.0,9.7,1.1,2.95,10.0,8.45,2.7,9.65,7.6,10.0,4.65,1.0,10.0,2.8,10.0,5.1,1.15,8.05,10.0,9.95,1.6972222222222222,9.95,10.0,9.75,10.0,9.95,9.4,9.75,8.7,9.8,10.0,9.8,1.55,2.1
9.55,9.45,9.55,9.8,9.55,9.6,9.55,9.85,5.45,4.55,9.55,8.55,1.75,1.9,1.5,1.1,1.0,1.0,1.8,1.45,4.85,1.15,9.55,7.85,9.55,9.7,9.0,8.55,9.55,2.15,4.35,1.75,9.5,1.7,4.7,8.45,9.15,9.6,9.55,9.9,9.55,6.7,9.55,9.65,1.55,3.2,9.55,10.0,1.4,1.3447368421052632,9.55,7.15,9.45,9.55,4.45,6.9,9.55,9.95,3.0,8.0,9.55,10.0,1.4,5.15,9.5,9.95,9.55,9.668750000000001,8.75,9.25,9.55,9.05
