ME_POz-Fz,MD_POz-Fz,ME_POz-Cz,MD_POz-Cz,ME_POz-C3,MD_POz-C3,ME_POz-C4,MD_POz-C4,ME_POz-F3,MD_POz-F3,ME_POz-F4,MD_POz-F4,ME_POz-P3,MD_POz-P3,ME_POz-P4,MD_POz-P4,ME_Fz-Cz,MD_Fz-Cz,ME_Fz-C3,MD_Fz-C3,ME_Fz-C4,MD_Fz-C4,ME_Fz-F3,MD_Fz-F3,ME_Fz-F4,MD_Fz-F4,ME_Fz-P3,MD_Fz-P3,ME_Fz-P4,MD_Fz-P4,ME_Cz-C3,MD_Cz-C3,ME_Cz-C4,MD_Cz-C4,ME_Cz-F3,MD_Cz-F3,ME_Cz-F4,MD_Cz-F4,ME_Cz-P3,MD_Cz-P3,ME_Cz-P4,MD_Cz-P4,ME_C3-C4,MD_C3-C4,ME_C3-F3,MD_C3-F3,ME_C3-F4,MD_C3-F4,ME_C3-P3,MD_C3-P3,ME_C3-P4,MD_C3-P4,ME_C4-F3,MD_C4-F3,ME_C4-F4,MD_C4-F4,ME_C4-P3,MD_C4-P3,ME_C4-P4,MD_C4-P4,ME_F3-F4,MD_F3-F4,ME_F3-P3,MD_F3-P3,ME_F3-P4,MD_F3-P4,ME_F4-P3,MD_F4-P3,ME_F4-P4,MD_F4-P4,ME_P3-P4,MD_P3-P4
1.35,4.2,1.7,6.35,9.55,4.3,4.65,10.0,9.55,9.3,2.4,8.0,1.45,1.2,2.1,1.4324999999999997,1.15,1.2,7.8,8.3,6.5,1.9,9.55,10.0,2.85,1.15,8.85,9.95,1.0,1.05,8.3,1.5,1.35,2.25,9.55,10.0,2.15,3.8,7.2,8.25,2.9,7.65,9.2,7.5,8.2,10.0,8.55,8.85,2.5361111111111114,1.65,9.55,9.75,9.5,9.15,5.2,9.1,9.45,10.0,1.45,9.7,9.55,10.0,9.3,8.6,8.9,7.0,7.9,9.2,1.4,2.25,9.55,10.0
1.05,1.1,8.45,7.75,10.0,9.3,10.0,9.45,8.95,9.85,9.75,9.45,1.05,2.4,1.2777777777777777,1.9,1.1,1.0,9.95,10.0,9.75,10.0,2.85,9.7,8.75,8.25,10.0,2.5,9.45,6.3,5.8,5.75,3.95,4.35,10.0,9.95,9.3,9.5,8.9,8.5,8.35,9.15,9.35,9.95,4.75,3.05,9.95,9.9,1.9,1.3,9.45,10.0,10.0,9.95,2.9,4.1,9.9,10.0,1.85,2.25,8.4,8.9,9.45,7.45,9.95,10.0,10.0,10.0,7.05,7.9,7.15,10.0
9.0,9.35,9.1,8.9,9.1,8.7,1.25,3.25,8.9,9.05,8.6,9.5,3.25,1.336842105263158,1.3,1.05,2.0,1.1,1.0,9.25,7.95,9.55,8.45,9.45,7.85,1.1,7.9,2.45,9.1,9.45,2.55,9.25,1.9,7.55,8.65,9.55,1.3,1.0,9.05,9.5,9.05,9.05,9.1,9.35,1.05,4.3,4.3,9.3,2.5361111111111114,1.75,9.1,9.3,9.1,9.55,1.35,9.1,7.55,9.55,1.0,1.1,9.1,9.3,7.0,1.0,9.1,9.55,8.65,9.55,3.65,9.2,7.65,9.55
3.6,1.1,7.45,1.0,2.55,1.0,8.9,5.65,8.7,10.0,8.95,10.0,1.0,1.0,1.2777777777777777,1.5,3.35,1.15,1.15,1.0,8.8,3.2,8.85,10.0,1.5,10.0,7.55,3.95,2.25,1.05,1.0,1.0,8.05,2.7,8.7,10.0,4.15,10.0,4.2,1.25,7.85,1.05,7.25,3.6,8.75,10.0,6.7,10.0,3.7,1.05,6.25,1.35,8.65,9.7,8.7,9.65,8.4,8.7,1.8,4.25,1.1,1.0,8.85,10.0,7.9,10.0,8.95,9.95,6.4,10.0,7.6,4.8
2.75,5.65,1.85,2.35,4.35,6.6,1.2,5.5,10.0,1.35,2.9,9.55,2.55,1.1,1.35,2.5,6.6,1.15,8.75,4.3,4.3,1.8,5.4,9.55,10.0,3.2,2.65,7.5,7.55,2.65,4.3,2.6,4.9,1.9,10.0,8.75,2.35,9.45,1.45,4.35,3.5,4.75,9.95,7.2,9.35,4.45,2.75,9.55,1.0,1.25,8.35,9.55,10.0,9.45,3.2,8.6,3.9,8.45,1.05,1.1,10.0,9.55,9.6,2.75,10.0,2.55,8.841176470588236,9.55,1.1,9.25,4.55,6.15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.211111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.13529411764706,1.0,1.0,1.0,1.0,9.641176470588235,1.0,1.0,9.097058823529412,1.0,9.17941176470588,1.0,1.0,1.0,1.0,9.097222222222223,1.0,1.0,1.0,1.0,1.0,1.0,8.867647058823529,1.0,8.841176470588236,9.668750000000001,1.0,1.0,1.0,1.0
2.85,9.6,4.75,7.75,10.0,1.55,9.9,9.55,8.2,9.05,3.8,10.0,1.0,1.45,2.0,1.75,3.9,1.95,1.0,10.0,10.0,2.6,2.25,8.85,3.45,1.15,9.0,10.0,10.0,7.0,8.55,2.15,5.45,9.5,9.95,9.55,1.7,2.4,9.9,9.15,4.6,9.4,9.9,9.95,1.5,9.95,5.35,9.641176470588235,2.5361111111111114,1.0,10.0,9.95,10.0,1.1,9.3,8.25,9.6,9.95,2.55,8.15,9.85,9.6,8.9,9.95,10.0,1.0,10.0,10.0,9.35,8.95,1.0,9.8
10.0,2.2,1.7,1.25,10.0,2.15,3.0,5.5,7.15,5.85,2.15,9.211111111111112,1.6157894736842102,1.25,1.0,2.75,1.05,1.0,1.75,2.35,8.25,1.5,10.0,5.95,1.1,1.0,5.95,2.95,9.5,1.0,2.35,3.2,3.3,1.85,10.0,5.95,1.0,1.05,6.9,4.8,6.0,1.35,9.6,5.8,10.0,5.45,2.15,9.641176470588235,8.2,1.2,10.0,4.4,8.75,5.85,3.7,1.1,10.0,5.95,1.95,1.15,10.0,5.95,3.0,5.25,8.867647058823529,5.95,7.3,9.668750000000001,6.5,1.05,9.95,5.95
10.0,9.4,5.75,9.3,10.0,2.65,9.35,10.0,10.0,10.0,4.6,9.3,1.0,1.05,1.0,1.15,1.7777777777777777,1.0,4.2,10.0,3.1,1.0,1.35,2.75,10.0,8.6,10.0,10.0,10.0,5.75,10.0,9.55,1.1,1.0,1.1,9.65,10.0,5.85,10.0,9.7,1.0,2.95,10.0,8.45,1.55,9.65,6.5,10.0,2.75,1.0,10.0,2.8,9.95,5.1,1.2,8.05,10.0,9.95,3.1,9.95,10.0,9.75,9.45,9.95,8.05,9.75,7.35,9.8,8.9,9.8,1.5,2.1
9.15,9.45,8.85,9.8,9.55,9.6,9.1,9.85,3.8,4.55,9.25,8.55,1.95,1.9,1.15,1.1,1.0,1.0,1.6,1.45,1.9,1.15,9.55,7.85,9.55,9.7,7.85,8.55,9.35,2.15,2.1,1.75,3.95,1.7,6.05,8.45,9.55,9.6,9.2,9.9,9.1,6.7,9.55,9.65,2.3,3.2,9.55,10.0,1.75,1.3447368421052632,9.5,7.15,9.17941176470588,9.55,7.8,6.9,9.55,9.95,1.6424999999999996,8.0,9.55,10.0,1.5,5.15,6.25,9.95,9.15,9.668750000000001,7.9,9.25,9.2,9.05
