Direction,Hands %,Statistic,p-value
POz-Fz,LH 55% | RH 42%,42.0,0.830
Fz-POz,LH 45% | RH 57%,,
,,,
POz--Cz,LH 77% | RH 61%,22.0,0.000
-Cz-POz,LH 22% | RH 38%,,
,,,
POz--C3,LH 76% | RH 76%,23.0,0.000
-C3-POz,LH 23% | RH 23%,,
,,,
POz--C4,LH 52% | RH 55%,47.0,0.488
-C4-POz,LH 47% | RH 44%,,
,,,
POz--F3,LH 66% | RH 55%,33.0,0.025
-F3-POz,LH 33% | RH 44%,,
,,,
POz--F4,LH 80% | RH 56%,20.0,0.000
-F4-POz,LH 20% | RH 43%,,
,,,
POz--P3,LH 77% | RH 55%,22.0,0.000
-P3-POz,LH 22% | RH 44%,,
,,,
POz--P4,LH 60% | RH 70%,40.0,0.005
-P4-POz,LH 40% | RH 29%,,
,,,
Fz-Cz,LH 61% | RH 41%,38.0,0.822
Cz-Fz,LH 38% | RH 58%,,
,,,
Fz-C3,LH 38% | RH 47%,47.0,0.211
C3-Fz,LH 61% | RH 52%,,
,,,
Fz-C4,LH 65% | RH 50%,35.0,0.128
C4-Fz,LH 35% | RH 50%,,
,,,
Fz-F3,LH 65% | RH 55%,35.0,0.045
F3-Fz,LH 35% | RH 44%,,
,,,
Fz-F4,LH 57% | RH 63%,42.0,0.050
F4-Fz,LH 42% | RH 36%,,
,,,
Fz-P3,LH 60% | RH 70%,40.0,0.005
P3-Fz,LH 40% | RH 29%,,
,,,
Fz-P4,LH 73% | RH 88%,26.0,0.000
P4-Fz,LH 26% | RH 11%,,
,,,
Cz-C3,LH 45% | RH 47%,47.0,0.488
C3-Cz,LH 55% | RH 52%,,
,,,
Cz-C4,LH 63% | RH 68%,36.0,0.002
C4-Cz,LH 36% | RH 31%,,
,,,
Cz-F3,LH 57% | RH 47%,42.0,0.672
F3-Cz,LH 42% | RH 52%,,
,,,
Cz-F4,LH 68% | RH 44%,31.0,0.165
F4-Cz,LH 31% | RH 55%,,
,,,
Cz-P3,LH 73% | RH 68%,26.0,0.000
P3-Cz,LH 26% | RH 31%,,
,,,
Cz-P4,LH 71% | RH 77%,28.0,0.000
P4-Cz,LH 28% | RH 22%,,
,,,
C3-C4,LH 58% | RH 52%,41.0,0.300
C4-C3,LH 41% | RH 47%,,
,,,
C3-F3,LH 75% | RH 63%,25.0,0.000
F3-C3,LH 25% | RH 36%,,
,,,
C3-F4,LH 56% | RH 58%,43.0,0.163
F4-C3,LH 43% | RH 41%,,
,,,
C3-P3,LH 55% | RH 66%,45.0,0.057
P3-C3,LH 45% | RH 33%,,
,,,
C3-P4,LH 55% | RH 42%,42.0,0.914
P4-C3,LH 44% | RH 57%,,
,,,
C4-F3,LH 55% | RH 50%,44.0,0.606
F3-C4,LH 44% | RH 50%,,
,,,
C4-F4,LH 50% | RH 57%,50.0,0.562
F4-C4,LH 50% | RH 42%,,
,,,
C4-P3,LH 73% | RH 47%,26.0,0.019
P3-C4,LH 26% | RH 52%,,
,,,
C4-P4,LH 72% | RH 50%,27.0,0.012
P4-C4,LH 27% | RH 50%,,
,,,
F3-F4,LH 77% | RH 88%,22.0,0.000
F4-F3,LH 22% | RH 11%,,
,,,
F3-P3,LH 55% | RH 38%,38.0,0.510
P3-F3,LH 45% | RH 61%,,
,,,
F3-P4,LH 70% | RH 60%,29.0,0.001
P4-F3,LH 29% | RH 40%,,
,,,
F4-P3,LH 62% | RH 80%,37.0,0.000
P3-F4,LH 37% | RH 20%,,
,,,
F4-P4,LH 68% | RH 57%,31.0,0.007
P4-F4,LH 31% | RH 42%,,
,,,
P3-P4,LH 70% | RH 50%,30.0,0.033
P4-P3,LH 30% | RH 50%,,
,,,
