Direction,Hands %,Statistic,p-value
POz-Fz,LH 52% | RH 57%,47.0,0.378
Fz-POz,LH 47% | RH 42%,,
,,,
POz--Cz,LH 55% | RH 55%,45.0,0.368
-Cz-POz,LH 45% | RH 45%,,
,,,
POz--C3,LH 71% | RH 64%,28.0,0.000
-C3-POz,LH 28% | RH 35%,,
,,,
POz--C4,LH 68% | RH 76%,31.0,0.000
-C4-POz,LH 31% | RH 23%,,
,,,
POz--F3,LH 63% | RH 68%,36.0,0.002
-F3-POz,LH 36% | RH 31%,,
,,,
POz--F4,LH 76% | RH 72%,23.0,0.000
-F4-POz,LH 23% | RH 27%,,
,,,
POz--P3,LH 76% | RH 42%,23.0,0.025
-P3-POz,LH 23% | RH 57%,,
,,,
POz--P4,LH 61% | RH 47%,38.0,0.386
-P4-POz,LH 38% | RH 52%,,
,,,
Fz-Cz,LH 62% | RH 68%,37.0,0.003
Cz-Fz,LH 37% | RH 31%,,
,,,
Fz-C3,LH 55% | RH 70%,44.0,0.019
C3-Fz,LH 44% | RH 30%,,
,,,
Fz-C4,LH 47% | RH 70%,52.0,0.123
C4-Fz,LH 52% | RH 29%,,
,,,
Fz-F3,LH 70% | RH 44%,30.0,0.130
F3-Fz,LH 30% | RH 55%,,
,,,
Fz-F4,LH 44% | RH 68%,55.0,0.279
F4-Fz,LH 55% | RH 31%,,
,,,
Fz-P3,LH 68% | RH 57%,31.0,0.007
P3-Fz,LH 31% | RH 42%,,
,,,
Fz-P4,LH 84% | RH 57%,15.0,0.000
P4-Fz,LH 15% | RH 42%,,
,,,
Cz-C3,LH 66% | RH 78%,33.0,0.000
C3-Cz,LH 33% | RH 21%,,
,,,
Cz-C4,LH 45% | RH 52%,52.0,0.847
C4-Cz,LH 55% | RH 47%,,
,,,
Cz-F3,LH 66% | RH 66%,33.0,0.001
F3-Cz,LH 33% | RH 33%,,
,,,
Cz-F4,LH 52% | RH 61%,47.0,0.211
F4-Cz,LH 47% | RH 38%,,
,,,
Cz-P3,LH 71% | RH 63%,28.0,0.000
P3-Cz,LH 28% | RH 36%,,
,,,
Cz-P4,LH 68% | RH 53%,31.0,0.021
P4-Cz,LH 31% | RH 46%,,
,,,
C3-C4,LH 50% | RH 40%,40.0,0.343
C4-C3,LH 50% | RH 60%,,
,,,
C3-F3,LH 70% | RH 76%,29.0,0.000
F3-C3,LH 29% | RH 23%,,
,,,
C3-F4,LH 55% | RH 63%,44.0,0.081
F4-C3,LH 44% | RH 36%,,
,,,
C3-P3,LH 52% | RH 40%,40.0,0.520
P3-C3,LH 47% | RH 60%,,
,,,
C3-P4,LH 78% | RH 68%,21.0,0.000
P4-C3,LH 21% | RH 31%,,
,,,
C4-F3,LH 55% | RH 47%,45.0,0.917
F3-C4,LH 45% | RH 52%,,
,,,
C4-F4,LH 43% | RH 57%,56.0,1.000
F4-C4,LH 56% | RH 42%,,
,,,
C4-P3,LH 71% | RH 70%,28.0,0.000
P3-C4,LH 28% | RH 29%,,
,,,
C4-P4,LH 58% | RH 25%,25.0,0.064
P4-C4,LH 41% | RH 75%,,
,,,
F3-F4,LH 81% | RH 61%,18.0,0.000
F4-F3,LH 18% | RH 38%,,
,,,
F3-P3,LH 63% | RH 70%,36.0,0.001
P3-F3,LH 36% | RH 29%,,
,,,
F3-P4,LH 61% | RH 65%,38.0,0.010
P4-F3,LH 38% | RH 35%,,
,,,
F4-P3,LH 52% | RH 70%,47.0,0.042
P3-F4,LH 47% | RH 30%,,
,,,
F4-P4,LH 60% | RH 72%,40.0,0.003
P4-F4,LH 40% | RH 27%,,
,,,
P3-P4,LH 52% | RH 57%,47.0,0.378
P4-P3,LH 47% | RH 42%,,
,,,
