Direction,Hands %,Statistic,p-value
POz-Fz,LH 70% | RH 57%,29.0,0.003
Fz-POz,LH 29% | RH 42%,,
,,,
POz--Cz,LH 78% | RH 55%,21.0,0.000
-Cz-POz,LH 21% | RH 45%,,
,,,
POz--C3,LH 82% | RH 64%,17.0,0.000
-C3-POz,LH 17% | RH 35%,,
,,,
POz--C4,LH 55% | RH 76%,44.0,0.004
-C4-POz,LH 44% | RH 23%,,
,,,
POz--F3,LH 70% | RH 68%,30.0,0.000
-F3-POz,LH 30% | RH 31%,,
,,,
POz--F4,LH 72% | RH 72%,27.0,0.000
-F4-POz,LH 27% | RH 27%,,
,,,
POz--P3,LH 72% | RH 42%,27.0,0.091
-P3-POz,LH 27% | RH 57%,,
,,,
POz--P4,LH 52% | RH 47%,47.0,1.000
-P4-POz,LH 47% | RH 52%,,
,,,
Fz-Cz,LH 65% | RH 68%,35.0,0.001
Cz-Fz,LH 35% | RH 31%,,
,,,
Fz-C3,LH 70% | RH 70%,30.0,0.000
C3-Fz,LH 30% | RH 30%,,
,,,
Fz-C4,LH 62% | RH 70%,37.0,0.002
C4-Fz,LH 37% | RH 29%,,
,,,
Fz-F3,LH 75% | RH 44%,25.0,0.029
F3-Fz,LH 25% | RH 55%,,
,,,
Fz-F4,LH 66% | RH 68%,33.0,0.001
F4-Fz,LH 33% | RH 31%,,
,,,
Fz-P3,LH 57% | RH 57%,42.0,0.159
P3-Fz,LH 42% | RH 42%,,
,,,
Fz-P4,LH 61% | RH 57%,38.0,0.064
P4-Fz,LH 38% | RH 42%,,
,,,
Cz-C3,LH 76% | RH 78%,23.0,0.000
C3-Cz,LH 23% | RH 21%,,
,,,
Cz-C4,LH 68% | RH 52%,31.0,0.028
C4-Cz,LH 31% | RH 47%,,
,,,
Cz-F3,LH 70% | RH 66%,30.0,0.000
F3-Cz,LH 30% | RH 33%,,
,,,
Cz-F4,LH 60% | RH 61%,40.0,0.046
F4-Cz,LH 40% | RH 38%,,
,,,
Cz-P3,LH 66% | RH 63%,33.0,0.003
P3-Cz,LH 33% | RH 36%,,
,,,
Cz-P4,LH 64% | RH 53%,35.0,0.069
P4-Cz,LH 35% | RH 46%,,
,,,
C3-C4,LH 73% | RH 40%,26.0,0.109
C4-C3,LH 26% | RH 60%,,
,,,
C3-F3,LH 52% | RH 76%,47.0,0.011
F3-C3,LH 47% | RH 23%,,
,,,
C3-F4,LH 77% | RH 63%,22.0,0.000
F4-C3,LH 22% | RH 36%,,
,,,
C3-P3,LH 33% | RH 40%,40.0,0.015
P3-C3,LH 66% | RH 60%,,
,,,
C3-P4,LH 80% | RH 68%,20.0,0.000
P4-C3,LH 20% | RH 31%,,
,,,
C4-F3,LH 70% | RH 47%,29.0,0.050
F3-C4,LH 29% | RH 52%,,
,,,
C4-F4,LH 50% | RH 57%,50.0,0.562
F4-C4,LH 50% | RH 42%,,
,,,
C4-P3,LH 84% | RH 70%,15.0,0.000
P3-C4,LH 15% | RH 29%,,
,,,
C4-P4,LH 47% | RH 25%,25.0,0.003
P4-C4,LH 52% | RH 75%,,
,,,
F3-F4,LH 46% | RH 61%,53.0,0.512
F4-F3,LH 53% | RH 38%,,
,,,
F3-P3,LH 73% | RH 70%,26.0,0.000
P3-F3,LH 26% | RH 29%,,
,,,
F3-P4,LH 63% | RH 65%,36.0,0.005
P4-F3,LH 36% | RH 35%,,
,,,
F4-P3,LH 58% | RH 70%,41.0,0.008
P3-F4,LH 41% | RH 30%,,
,,,
F4-P4,LH 77% | RH 72%,22.0,0.000
P4-F4,LH 22% | RH 27%,,
,,,
P3-P4,LH 55% | RH 57%,45.0,0.276
P4-P3,LH 45% | RH 42%,,
,,,
