Direction,Hands %,Statistic,p-value
POz-Fz,LH 45% | RH 40%,40.0,0.151
Fz-POz,LH 55% | RH 60%,,
,,,
POz--Cz,LH 68% | RH 55%,31.0,0.013
-Cz-POz,LH 31% | RH 44%,,
,,,
POz--C3,LH 68% | RH 57%,31.0,0.007
-C3-POz,LH 31% | RH 42%,,
,,,
POz--C4,LH 60% | RH 73%,40.0,0.002
-C4-POz,LH 40% | RH 26%,,
,,,
POz--F3,LH 76% | RH 40%,23.0,0.043
-F3-POz,LH 23% | RH 60%,,
,,,
POz--F4,LH 66% | RH 68%,33.0,0.001
-F4-POz,LH 33% | RH 31%,,
,,,
POz--P3,LH 71% | RH 68%,28.0,0.000
-P3-POz,LH 28% | RH 31%,,
,,,
POz--P4,LH 66% | RH 50%,33.0,0.078
-P4-POz,LH 33% | RH 50%,,
,,,
Fz-Cz,LH 47% | RH 42%,42.0,0.353
Cz-Fz,LH 52% | RH 57%,,
,,,
Fz-C3,LH 61% | RH 61%,38.0,0.027
C3-Fz,LH 38% | RH 38%,,
,,,
Fz-C4,LH 61% | RH 55%,38.0,0.097
C4-Fz,LH 38% | RH 44%,,
,,,
Fz-F3,LH 66% | RH 58%,33.0,0.011
F3-Fz,LH 33% | RH 41%,,
,,,
Fz-F4,LH 53% | RH 61%,46.0,0.176
F4-Fz,LH 46% | RH 38%,,
,,,
Fz-P3,LH 88% | RH 76%,11.0,0.000
P3-Fz,LH 11% | RH 23%,,
,,,
Fz-P4,LH 80% | RH 71%,20.0,0.000
P4-Fz,LH 20% | RH 28%,,
,,,
Cz-C3,LH 75% | RH 62%,25.0,0.000
C3-Cz,LH 25% | RH 37%,,
,,,
Cz-C4,LH 65% | RH 55%,35.0,0.045
C4-Cz,LH 35% | RH 44%,,
,,,
Cz-F3,LH 57% | RH 38%,38.0,0.738
F3-Cz,LH 42% | RH 61%,,
,,,
Cz-F4,LH 61% | RH 55%,38.0,0.097
F4-Cz,LH 38% | RH 44%,,
,,,
Cz-P3,LH 80% | RH 75%,20.0,0.000
P3-Cz,LH 20% | RH 25%,,
,,,
Cz-P4,LH 50% | RH 63%,50.0,0.259
P4-Cz,LH 50% | RH 36%,,
,,,
C3-C4,LH 76% | RH 55%,23.0,0.000
C4-C3,LH 23% | RH 45%,,
,,,
C3-F3,LH 77% | RH 60%,22.0,0.000
F3-C3,LH 22% | RH 40%,,
,,,
C3-F4,LH 61% | RH 63%,38.0,0.017
F4-C3,LH 38% | RH 36%,,
,,,
C3-P3,LH 55% | RH 76%,45.0,0.006
P3-C3,LH 45% | RH 23%,,
,,,
C3-P4,LH 55% | RH 50%,45.0,0.682
P4-C3,LH 45% | RH 50%,,
,,,
C4-F3,LH 61% | RH 66%,38.0,0.008
F3-C4,LH 38% | RH 33%,,
,,,
C4-F4,LH 61% | RH 72%,38.0,0.002
F4-C4,LH 38% | RH 27%,,
,,,
C4-P3,LH 73% | RH 45%,26.0,0.032
P3-C4,LH 26% | RH 55%,,
,,,
C4-P4,LH 72% | RH 61%,27.0,0.000
P4-C4,LH 27% | RH 38%,,
,,,
F3-F4,LH 72% | RH 68%,27.0,0.000
F4-F3,LH 27% | RH 31%,,
,,,
F3-P3,LH 68% | RH 66%,31.0,0.000
P3-F3,LH 31% | RH 33%,,
,,,
F3-P4,LH 70% | RH 62%,29.0,0.001
P4-F3,LH 29% | RH 37%,,
,,,
F4-P3,LH 57% | RH 42%,42.0,1.000
P3-F4,LH 42% | RH 57%,,
,,,
F4-P4,LH 52% | RH 55%,47.0,0.488
P4-F4,LH 47% | RH 45%,,
,,,
P3-P4,LH 57% | RH 52%,42.0,0.353
P4-P3,LH 42% | RH 47%,,
,,,
